year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage,churn
2013,6,202550,1835,0,1,9.66,2.26,1,1,0,1,12,2,11.92,40,1.42,15.22,0.33,2.22,1,0,0.0,0.0,1,10,1.27,8.48,1,0,0.0,0.0,1,134,0.84,0.06,1,0,0.0,1,14,0.84,1,0,0.0,1,13,0.0,0,0.0,0,0.0,0.0,1276,5,11.92,45.35,0.0,26.62,0.0,390,10,115,10,0.0,0
2013,6,930164,536,0,10,54.92,0.6,1,1,0,0,1276,0,0.0,2,0.0,0.0,0.0,0.0,10,0,0.0,0.0,10,0,0.0,0.0,10,0,0.0,0.0,10,10,0.6,0.06,20,0,0.0,20,10,0.6,20,0,0.0,20,5,0.0,2,0.0,0,0.0,0.0,1276,0,0.0,24.98,0.0,23.9,0.0,52,0,52,0,0.0,0
2013,6,46907,1046,0,1,16.25,13.47,1,1,0,1,9,2,23.01,45,9.3,50.22,3.01,12.98,1,5,5.47,15.7,1,15,2.29,15.23,1,12,7.02,31.78,1,57,4.17,0.11,1,0,0.0,1,42,2.52,1,15,1.65,1,12,0.0,4,0.0,0,0.0,0.0,1276,7,35.01,116.47,15.2,65.65,31.28,262,0,199,11,0.0,0
2013,8,1174456,15947,0,8,0.0,0.0,1,0,0,1,23,1,0.0,1,0.0,0.0,0.0,0.0,8,0,0.0,0.0,8,0,0.0,0.0,8,0,0.0,0.0,8,0,0.0,0.0,1338,0,0.0,1338,0,0.0,1338,0,0.0,1338,0,0.0,0,0.0,0,0.0,0.0,1338,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0
2013,6,300131,1630,0,1,6.14,3.76,1,1,0,1,1,1,6.0,24,2.21,18.5,0.23,1.25,1,0,0.0,0.0,1,7,1.26,7.0,1,0,0.0,0.0,1,17,1.55,0.11,5,0,0.0,5,16,1.44,5,0,0.0,5,11,0.0,0,0.0,0,0.0,0.0,1276,2,12.0,30.38,0.0,8.0,0.0,61,0,60,0,0.0,0
2013,6,315688,1373,0,1,6.84,6.38,1,1,0,1,3,2,12.0,64,6.32,47.4,0.53,3.5,1,0,0.0,0.0,1,25,2.54,16.93,1,0,0.0,0.0,1,1,0.06,0.06,2,0,0.0,2,1,0.06,2,0,0.0,2,7,0.0,0,0.0,0,0.0,0.0,1276,3,16.0,99.87,0.0,40.8,0.0,3,0,3,0,0.0,0
2013,6,352185,1401,0,6,0.48,3.79,1,1,0,1,20,1,4.0,76,3.79,21.68,0.99,3.0,6,0,0.0,0.0,6,18,1.6,14.38,6,0,0.0,0.0,6,1,0.0,0.0,20,0,0.0,20,0,0.0,20,0,0.0,20,16,0.0,0,0.0,0,0.0,0.0,1276,4,16.0,91.03,0.0,50.85,2.13,6,0,0,0,0.0,0
2013,6,931894,535,0,16,3.24,0.0,1,0,0,0,1276,0,0.0,1,0.0,0.0,0.0,0.0,16,0,0.0,0.0,16,0,0.0,0.0,16,0,0.0,0.0,16,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0
2013,8,1193499,15947,0,8,0.0,0.0,0,0,0,1,8,1,0.0,0,0.0,0.0,0.0,0.0,1338,0,0.0,0.0,1338,0,0.0,0.0,1338,0,0.0,0.0,1338,0,0.0,0.0,1338,0,0.0,1338,0,0.0,1338,0,0.0,1338,0,0.0,0,0.0,0,0.0,0.0,1338,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1
2013,6,93082,1986,0,1,31.49,9.8,1,1,1,1,5,1,24.02,18,3.52,23.47,0.59,3.93,6,0,0.0,0.0,6,17,3.37,22.47,6,0,0.0,0.0,6,80,6.18,0.75,1,0,0.0,1,78,4.68,1,0,0.0,1,10,0.75,2,0.0,9,1.17,0.1,1,5,59.015,149.88,0.0,123.62,0.0,200,0,195,0,2.25,0
